Subject,Accuracy,Acc_std,Kappa,Kappa_std,Best_k
A01T,0.903448275862069,0.026931895434160878,0.8712706884893129,0.035889612082412266,64
A02T,0.7396551724137932,0.04718597304622072,0.6527298910810134,0.06306116501609603,64
A03T,0.9017241379310343,0.03183825053899896,0.8689361765858148,0.042467033159618535,64
A04T,0.7293103448275862,0.0617087247178389,0.6391018566809578,0.08227373497106728,64
A05T,0.8068965517241379,0.0474059554650604,0.7423568837939352,0.06339418328622842,64
A06T,0.6862068965517242,0.07224940289571366,0.5813962672491462,0.09617059194769634,64
A07T,0.903448275862069,0.028013925533227468,0.871176714222355,0.037436687763192616,64
A08T,0.8724137931034482,0.026931895434160892,0.8299659942907871,0.035807725964647714,64
A09T,0.8189655172413792,0.03293960892162551,0.7586050667480179,0.04401827937703972,64
